70  	dumb-all                      	0.1.0
2   	aead                          	0.1.1	git+https://github.com/mesalock-linux/rustcrypto-traits-sgx#71e214d9b8d6fe41f1f549374b5ba561d60b82a3
4   	aes                           	0.3.2	git+https://github.com/mesalock-linux/rustcrypto-block-ciphers-sgx#5ec475fa4d8598baabc97ea28f47b9b8cb16e049
7   	aes-ctr                       	0.3.0	git+https://github.com/mesalock-linux/rustcrypto-stream-ciphers-sgx#76b54bf18c116e9e9fa43938ad7b3fe914b683e8
5   	aesni                         	0.6.0	git+https://github.com/mesalock-linux/rustcrypto-block-ciphers-sgx#5ec475fa4d8598baabc97ea28f47b9b8cb16e049
9   	aes-soft                      	0.3.3	git+https://github.com/mesalock-linux/rustcrypto-block-ciphers-sgx#5ec475fa4d8598baabc97ea28f47b9b8cb16e049
14  	anyhow                        	1.0.26	git+https://github.com/mesalock-linux/anyhow-sgx#6e184aa251e493959e7ba88cae17c6eb289f6ff6
18  	assert_matches                	1.3.0	git+https://github.com/mesalock-linux/assert_matches-sgx#70e448bb975fbec61b86b64e408af0e59b0bd4fc
22  	bincode                       	1.2.1	git+https://github.com/mesalock-linux/bincode-sgx#3d44c864012695ab2c890aa3f34f5d87759adeb7
29  	blake-hash                    	0.3.2	git+https://github.com/mesalock-linux/cryptocorrosion-sgx#7c8ed8d1646c693b58870281ec0b74fc0a3014f0
33  	blake2                        	0.8.1	git+https://github.com/mesalock-linux/rustcrypto-hashes-sgx#0a5d344146b0b7a4ff3bebf632aee6f7a5a85e1f
38  	block-modes                   	0.3.3	git+https://github.com/mesalock-linux/rustcrypto-block-ciphers-sgx#5ec475fa4d8598baabc97ea28f47b9b8cb16e049
39  	blowfish                      	0.4.0	git+https://github.com/mesalock-linux/rustcrypto-block-ciphers-sgx#5ec475fa4d8598baabc97ea28f47b9b8cb16e049
43  	cast5                         	0.6.0	git+https://github.com/mesalock-linux/rustcrypto-block-ciphers-sgx#5ec475fa4d8598baabc97ea28f47b9b8cb16e049
45  	cfb-mode                      	0.3.2	git+https://github.com/mesalock-linux/rustcrypto-stream-ciphers-sgx#76b54bf18c116e9e9fa43938ad7b3fe914b683e8
46  	cfb8                          	0.3.2	git+https://github.com/mesalock-linux/rustcrypto-stream-ciphers-sgx#76b54bf18c116e9e9fa43938ad7b3fe914b683e8
49  	chacha20                      	0.2.3	git+https://github.com/mesalock-linux/rustcrypto-stream-ciphers-sgx#76b54bf18c116e9e9fa43938ad7b3fe914b683e8
54  	cmac                          	0.2.0	git+https://github.com/mesalock-linux/rustcrypto-MACs-sgx#7633da10118c46e561005a61cb3d4b9058605464
55  	dbl                           	0.2.1	registry+https://github.com/rust-lang/crates.io-index
64  	ctr                           	0.3.2	git+https://github.com/mesalock-linux/rustcrypto-stream-ciphers-sgx#76b54bf18c116e9e9fa43938ad7b3fe914b683e8
65  	daa                           	0.1.0	git+https://github.com/mesalock-linux/rustcrypto-MACs-sgx#7633da10118c46e561005a61cb3d4b9058605464
66  	des                           	0.3.0	git+https://github.com/mesalock-linux/rustcrypto-block-ciphers-sgx#5ec475fa4d8598baabc97ea28f47b9b8cb16e049
67  	data-url                      	0.1.0	git+https://github.com/mesalock-linux/rust-url-sgx#e5023e8b3a8cce84fc8ed27e072497cc0e2af1c2
72  	encoding_rs                   	0.8.22	git+https://github.com/mesalock-linux/encoding_rs-sgx#3c3f8f079d96844e07a42bc852b73e18b86cdcb6
204 	packed_simd                   	0.3.3	registry+https://github.com/rust-lang/crates.io-index
82  	failure                       	0.1.7	git+https://github.com/mesalock-linux/failure-sgx#ccb38d06eeea9597d1e4bbd0702da8ea0ecee10d
208 	failure_derive                	0.1.7	git+https://github.com/mesalock-linux/failure-sgx#ccb38d06eeea9597d1e4bbd0702da8ea0ecee10d
209 	sgx_backtrace                 	1.1.1	git+https://github.com/apache/teaclave-sgx-sdk.git?rev=v1.1.1#5cef8f0d65d43bf6a6a2b0a1018b5a8c2651bea3
252 	sgx_serialize_derive          	1.1.1	git+https://github.com/apache/teaclave-sgx-sdk.git?rev=v1.1.1#5cef8f0d65d43bf6a6a2b0a1018b5a8c2651bea3
255 	sgx_serialize_derive_internals	1.1.1	git+https://github.com/apache/teaclave-sgx-sdk.git?rev=v1.1.1#5cef8f0d65d43bf6a6a2b0a1018b5a8c2651bea3
256 	syn                           	0.11.11	registry+https://github.com/rust-lang/crates.io-index
239 	quote                         	0.3.15	registry+https://github.com/rust-lang/crates.io-index
260 	synom                         	0.11.3	registry+https://github.com/rust-lang/crates.io-index
261 	unicode-xid                   	0.0.4	registry+https://github.com/rust-lang/crates.io-index
86  	gost94                        	0.8.0	git+https://github.com/mesalock-linux/rustcrypto-hashes-sgx#0a5d344146b0b7a4ff3bebf632aee6f7a5a85e1f
87  	groestl                       	0.8.0	git+https://github.com/mesalock-linux/rustcrypto-hashes-sgx#0a5d344146b0b7a4ff3bebf632aee6f7a5a85e1f
88  	groestl-aesni                 	0.2.2	git+https://github.com/mesalock-linux/cryptocorrosion-sgx#7c8ed8d1646c693b58870281ec0b74fc0a3014f0
89  	gzip-header                   	0.3.0	git+https://github.com/mesalock-linux/gzip-header-sgx#89e1f0babb75a1a4e4ea07197aea5035f4102943
91  	hex                           	0.4.0	git+https://github.com/mesalock-linux/rust-hex-sgx#18cbe4d1cf27ab52ffccad124553807fbcc445bd
95  	http                          	0.2.0	git+https://github.com/mesalock-linux/http-sgx#a03e47248821116b9df9b17d33cb44b6b1642056
83  	fnv                           	1.0.6	git+https://github.com/mesalock-linux/rust-fnv-sgx#0bd8b191528b72eb1124c33ec6d5a80457bb220a
213 	hashbrown                     	0.3.1	registry+https://github.com/rust-lang/crates.io-index
96  	http_req                      	0.5.5	git+https://github.com/mesalock-linux/http_req-sgx#aa49996f4a7b9eb141a95db901cd8e050f11914d
158 	rustls                        	0.16.0	git+https://github.com/mesalock-linux/rustls?branch=mesalock_sgx#b2ba59d0ca5941869a90f5e8401a99788c177bf6
162 	sct                           	0.6.0	git+https://github.com/mesalock-linux/sct.rs?branch=mesalock_sgx#fab7765c8b8141076dae2e1d997b0e2c2dfb7788
191 	unicase                       	2.6.0	git+https://github.com/mesalock-linux/unicase-sgx#072fc2fbaceab3e6449c89e7b84d7b1934304110
265 	version_check                 	0.9.1	registry+https://github.com/rust-lang/crates.io-index
201 	webpki-roots                  	0.19.0	git+https://github.com/mesalock-linux/webpki-roots?branch=mesalock_sgx#3a3c9e909cd2c0a05d2614c6b153b15141e81507
200 	webpki                        	0.21.2	git+https://github.com/mesalock-linux/webpki?branch=mesalock_sgx#7e659ba78806b5dd249c16a372985272369ca4bf
99  	image                         	0.22.4	git+https://github.com/mesalock-linux/image-sgx#f1ee9a2353854c9c781cf1ba58aa23a8347c7410
85  	gif                           	0.10.3	git+https://github.com/mesalock-linux/image-gif-sgx#b0d5992b06244891e35e334d9a1a483d3b91f1ed
56  	color_quant                   	1.0.1	git+https://github.com/mesalock-linux/color_quant-sgx#b920c5747875f19bf792ac79dc6de5477e189afb
108 	jpeg-decoder                  	0.1.18	git+https://github.com/mesalock-linux/jpeg-decoder-sgx#49cc4378b55d30930ee6ee1fc506f0b9d81998e1
139 	png                           	0.15.2	git+https://github.com/mesalock-linux/image-png-sgx#0e8b2256cb1646de87f5e5791f1210f2085014a3
25  	bitflags                      	1.2.1	registry+https://github.com/rust-lang/crates.io-index
69  	deflate                       	0.8.2	git+https://github.com/mesalock-linux/deflate-rs-sgx?branch=dev#002d15068adc388c7ff162efafcf50c81b6c0967
101 	inflate                       	0.4.5	git+https://github.com/mesalock-linux/inflate-sgx#2a2dc4731bbe37b847265d0798a5ba2de47ef413
186 	tiff                          	0.4.0	git+https://github.com/mesalock-linux/image-tiff-sgx#080582e023ffbce7ea69ac1551175cd4bc848f59
118 	lzw                           	0.10.0	git+https://github.com/mesalock-linux/lzw-sgx#3b9ebd5ebcb18a6adc1c8457f12720f3fd0182d8
125 	miniz_oxide                   	0.3.5	git+https://github.com/mesalock-linux/miniz_oxide-sgx#083ebf2573ad767cb6083444da6f83f053a4b7f8
105 	itertools                     	0.8.0	git+https://github.com/mesalock-linux/rust-itertools-sgx#6ec062469c94b7c8702dd93cca43ec2aee8e9dfd
107 	jh-x86_64                     	0.2.2	git+https://github.com/mesalock-linux/cryptocorrosion-sgx#7c8ed8d1646c693b58870281ec0b74fc0a3014f0
92  	hex-literal                   	0.2.0	git+https://github.com/mesalock-linux/rustcrypto-utils-sgx#448345c12a20036a2589e524606165592f4a4171
219 	hex-literal-impl              	0.2.0	git+https://github.com/mesalock-linux/rustcrypto-utils-sgx#448345c12a20036a2589e524606165592f4a4171
220 	proc-macro-hack               	0.5.14	registry+https://github.com/rust-lang/crates.io-index
109 	jsonpath_lib                  	0.2.3	git+https://github.com/mesalock-linux/jsonpath-sgx#73a49ca1814d2e3270f14e8ca09bc60708de1776
15  	array_tool                    	1.0.3	git+https://github.com/mesalock-linux/array_tool-sgx#0e581431d3d709dc04d85f33b015c72f71298f20
110 	jsonwebtoken                  	6.0.1	git+https://github.com/mesalock-linux/jsonwebtoken-sgx#aebda88d6814923217e5c92c1d7c1fdedf3e7701
21  	base64                        	0.10.1	git+https://github.com/mesalock-linux/rust-base64-sgx#cea11524d6a0916df66003e4635c0e686bec7b7b
149 	ring                          	0.16.11	git+https://github.com/mesalock-linux/ring-sgx?tag=v0.16.5#6053fe7eaef7de8a681bd0242a06b01fe9da4b02
222 	untrusted                     	0.7.0	registry+https://github.com/rust-lang/crates.io-index
167 	serde_json                    	1.0.40	git+https://github.com/mesalock-linux/serde-json-sgx#c28ad9a3c7a351c452afb54f4268292611f15e77
100 	indexmap                      	1.3.1	git+https://github.com/mesalock-linux/indexmap-sgx#c2a576c0ee2531d6223779fda4becd4165142579
106 	itoa                          	0.4.5	git+https://github.com/mesalock-linux/itoa-sgx#b5c29afd29b9d246869d9375bdc0c228efdbf29d
247 	ryu                           	1.0.3	registry+https://github.com/rust-lang/crates.io-index
111 	kuznyechik                    	0.3.0	git+https://github.com/mesalock-linux/rustcrypto-block-ciphers-sgx#5ec475fa4d8598baabc97ea28f47b9b8cb16e049
113 	kvdb-memorydb                 	0.1.0	git+https://github.com/mesalock-linux/parity-common-sgx#6358186b86ee5b487e90ad0efd6b6d0161c8dded
112 	kvdb                          	0.1.0	git+https://github.com/mesalock-linux/parity-common-sgx#6358186b86ee5b487e90ad0efd6b6d0161c8dded
224 	parity-bytes                  	0.1.0	git+https://github.com/mesalock-linux/parity-common-sgx#6358186b86ee5b487e90ad0efd6b6d0161c8dded
114 	libflate                      	0.1.27	git+https://github.com/mesalock-linux/libflate-sgx#a6dcdf3c9e84e6ecb34bbf30ed84336129e01bf0
0   	adler32                       	1.0.4	git+https://github.com/mesalock-linux/adler32-rs-sgx#ea79bea61bb0d2190776e9d6a3a1eac0c55ef2c0
